category,difficulty,set_id,label,positive_scores_list,negative_scores_list,best_prompt_score
category_1,1,1,1,"[0.26073917746543884, 0.2675780653953552, 0.2412605732679367, 0.2708539664745331, 0.2187274843454361]","[0.3056410253047943, 0.2756315767765045, 0.2956722378730774, 0.2586642801761627]",-0.02876073122024536
category_1,1,1,2,"[0.2705053389072418, 0.25593867897987366, 0.23917990922927856, 0.27728113532066345, 0.21810650825500488]","[0.3007332384586334, 0.27983108162879944, 0.292897492647171, 0.24661895632743835]",-0.021847620606422424
category_1,1,1,3,"[0.2606997787952423, 0.24093781411647797, 0.23496153950691223, 0.26108089089393616, 0.20465721189975739]","[0.29285961389541626, 0.26361626386642456, 0.2697386145591736, 0.2336961328983307]",-0.015333815167347609
category_1,1,1,4,"[0.24248062074184418, 0.2292061150074005, 0.22493377327919006, 0.24538017809391022, 0.1903195083141327]","[0.265415757894516, 0.24756379425525665, 0.25222083926200867, 0.22900234162807465]",-0.017150471607844026
category_1,1,1,5,"[0.23336701095104218, 0.2105131894350052, 0.22057631611824036, 0.2287341058254242, 0.18413317203521729]","[0.23130720853805542, 0.21882104873657227, 0.2218863070011139, 0.2021949291229248]",0.002401889612277358
category_1,2,1,1,"[0.2436300665140152, 0.24202482402324677, 0.22175784409046173, 0.2413788139820099, 0.20873671770095825]","[0.26225733757019043, 0.24607257544994354, 0.2573644816875458, 0.2360551357269287]",-0.01762153704961142
category_1,2,1,2,"[0.24048928916454315, 0.23002874851226807, 0.22157730162143707, 0.23657502233982086, 0.2119789868593216]","[0.2461288422346115, 0.23892584443092346, 0.24355287849903107, 0.22274672985076904]",-0.007420000930627196
category_1,2,1,3,"[0.23650339245796204, 0.22868728637695312, 0.21507389843463898, 0.239644855260849, 0.20687903463840485]","[0.24694520235061646, 0.23943492770195007, 0.21449212729930878, 0.2204561084508896]",-0.0002690926194190979
category_1,2,1,4,"[0.22836752235889435, 0.22352272272109985, 0.20525221526622772, 0.24279999732971191, 0.22006234526634216]","[0.25200557708740234, 0.24890829622745514, 0.210367813706398, 0.21754170954227448]",-0.0014854197700818472
category_1,2,1,5,"[0.22794699668884277, 0.22774407267570496, 0.20670035481452942, 0.24202027916908264, 0.2197829931974411]","[0.2525325417518616, 0.2528332769870758, 0.21471506357192993, 0.21637342870235443]",-0.0038612671196460724
category_2,1,1,1,"[0.23997603356838226, 0.26047179102897644, 0.22249072790145874, 0.25287091732025146, 0.2378431111574173]","[0.28039658069610596, 0.2770121693611145, 0.2840534448623657, 0.2650102376937866]",-0.037063419818878174
category_2,1,1,2,"[0.22055551409721375, 0.24039557576179504, 0.21641726791858673, 0.23485751450061798, 0.23900054395198822]","[0.23841571807861328, 0.250791996717453, 0.24414443969726562, 0.23794811964035034]",-0.016587141901254654
category_2,1,1,3,"[0.20586825907230377, 0.23223648965358734, 0.21262997388839722, 0.23548726737499237, 0.25815442204475403]","[0.22503779828548431, 0.2399609386920929, 0.22413483262062073, 0.22014838457107544]",-4.640469948449799e-05
category_2,1,1,4,"[0.21738775074481964, 0.23284870386123657, 0.21797476708889008, 0.24103744328022003, 0.24594901502132416]","[0.23823195695877075, 0.25149479508399963, 0.22881077229976654, 0.2321900725364685]",-0.006911302606264741
category_2,1,1,5,"[0.20357592403888702, 0.22602061927318573, 0.2108602076768875, 0.23498134315013885, 0.25879836082458496]","[0.22236107289791107, 0.23897090554237366, 0.2111748307943344, 0.2187843918800354]",0.004077249517043441
category_2,2,1,1,"[0.24405474960803986, 0.267106831073761, 0.23297059535980225, 0.26067206263542175, 0.22730109095573425]","[0.27739211916923523, 0.2643190324306488, 0.282908171415329, 0.2613297402858734]",-0.028269356737534224
category_2,2,1,2,"[0.24007733166217804, 0.26805219054222107, 0.230498269200325, 0.25895431637763977, 0.2293873429298401]","[0.272258460521698, 0.26221027970314026, 0.2777000069618225, 0.2616766691207886]",-0.027466336886088072
category_2,2,1,3,"[0.22729937732219696, 0.26093822717666626, 0.22666184604167938, 0.24871733784675598, 0.23894675076007843]","[0.2551172971725464, 0.254243403673172, 0.26599547266960144, 0.25891268253326416]",-0.024310858299334825
category_2,2,1,4,"[0.20648588240146637, 0.22477445006370544, 0.21547256410121918, 0.2380160540342331, 0.24661478400230408]","[0.22132708132266998, 0.22199814021587372, 0.24016563594341278, 0.22393859922885895]",-0.002053470661242812
category_2,2,1,5,"[0.20611344277858734, 0.22916370630264282, 0.21634827554225922, 0.23899005353450775, 0.25029394030570984]","[0.21844781935214996, 0.2224155217409134, 0.2281256914138794, 0.22183670103549957]",0.0038104566435019083
category_2,2,2,1,"[0.2308812141418457, 0.25679078698158264, 0.22505499422550201, 0.2491772472858429, 0.22185155749320984]","[0.2665962278842926, 0.2559121549129486, 0.2731426954269409, 0.25606921315193176]",-0.029966767877340317
category_2,2,2,2,"[0.20202355086803436, 0.2306985706090927, 0.2147647738456726, 0.23021042346954346, 0.23603203892707825]","[0.21732063591480255, 0.21539762616157532, 0.23704518377780914, 0.24942968785762787]",-0.013199802488088608
category_2,2,2,3,"[0.1898777335882187, 0.2125115841627121, 0.2026267647743225, 0.21618665754795074, 0.23359999060630798]","[0.1939489245414734, 0.20947203040122986, 0.2112937569618225, 0.2216709703207016]",-0.003572799265384674
category_2,2,2,4,"[0.1890188455581665, 0.20886677503585815, 0.20618604123592377, 0.21383225917816162, 0.22986134886741638]","[0.19204343855381012, 0.20144066214561462, 0.21795372664928436, 0.2283434122800827]",-0.006187976648410171
category_2,2,2,5,"[0.17578847706317902, 0.20544514060020447, 0.1955040693283081, 0.20406097173690796, 0.21912318468093872]","[0.17293930053710938, 0.1954095959663391, 0.20172864198684692, 0.20911595225334167]",-0.0034655543665091104
category_2,2,3,1,"[0.2222939431667328, 0.2580605149269104, 0.2204769402742386, 0.2447606474161148, 0.23059028387069702]","[0.25180163979530334, 0.2500934898853302, 0.2647267282009125, 0.25903648138046265]",-0.02842177947362262
category_2,2,3,2,"[0.2080143392086029, 0.24236492812633514, 0.21171140670776367, 0.23474586009979248, 0.233270063996315]","[0.23919710516929626, 0.23983627557754517, 0.25428131222724915, 0.25123631954193115]",-0.026515884945789964
category_2,2,3,3,"[0.21398118138313293, 0.23711194097995758, 0.2126060277223587, 0.24224063754081726, 0.23545849323272705]","[0.23509134352207184, 0.2379186749458313, 0.2427704930305481, 0.23006302118301392]",-0.010845811416705459
category_2,2,3,4,"[0.19889222085475922, 0.2234276980161667, 0.2099795937538147, 0.22691033780574799, 0.23196043074131012]","[0.20328284800052643, 0.21597705781459808, 0.21357768774032593, 0.21564088761806488]",0.001870434731245041
category_2,2,3,5,"[0.1995987743139267, 0.2169526368379593, 0.21536651253700256, 0.2269466370344162, 0.2399943321943283]","[0.1966949850320816, 0.20836573839187622, 0.2077680379152298, 0.21705612540245056]",0.00941326345006624
category_2,3,1,1,"[0.22350136935710907, 0.24995924532413483, 0.22391653060913086, 0.2406129091978073, 0.23228862881660461]","[0.2557781934738159, 0.24982425570487976, 0.2622587978839874, 0.25699296593666077]",-0.026278813680013002
category_2,3,1,2,"[0.23306715488433838, 0.2410167157649994, 0.2309744954109192, 0.2436620146036148, 0.24005582928657532]","[0.25234442949295044, 0.2519235908985138, 0.25509321689605713, 0.23908814787864685]",-0.011761778344710677
category_2,3,1,3,"[0.2032734900712967, 0.2255956381559372, 0.21340858936309814, 0.22390682995319366, 0.2383497953414917]","[0.20950192213058472, 0.21889086067676544, 0.21234169602394104, 0.22515836358070374]",0.0009377027551333017
category_2,3,1,4,"[0.21025262773036957, 0.22293692827224731, 0.2202111929655075, 0.2233959138393402, 0.23541967570781708]","[0.2079939991235733, 0.21402853727340698, 0.21290351450443268, 0.22866585850715637]",0.0037872157990932465
category_2,3,1,5,"[0.2038140743970871, 0.22605478763580322, 0.21766412258148193, 0.22247366607189178, 0.23946772515773773]","[0.21139124035835266, 0.22270889580249786, 0.2097078263759613, 0.22319428622722626]",0.0023178942501544952
category_3,1,1,1,"[0.22992803156375885, 0.2589907646179199, 0.22125642001628876, 0.25385424494743347, 0.20003746449947357]","[0.252912312746048, 0.23312987387180328, 0.25421056151390076, 0.2698678970336914]",-0.02613373721639317
category_3,1,1,2,"[0.2557593584060669, 0.2538459002971649, 0.23896661400794983, 0.26261094212532043, 0.22820141911506653]","[0.2811906933784485, 0.2686556577682495, 0.2628977596759796, 0.24595332145690918]",-0.012784329553445162
category_3,1,1,3,"[0.25615718960762024, 0.2516895532608032, 0.2328379601240158, 0.2585631012916565, 0.23494423925876617]","[0.26514899730682373, 0.26909705996513367, 0.2521810829639435, 0.24298536777496338]",-0.009128880997498812
category_3,1,1,4,"[0.2167731374502182, 0.22130008041858673, 0.2183055579662323, 0.22430722415447235, 0.23430675268173218]","[0.21955768764019012, 0.233038991689682, 0.21248921751976013, 0.21547859907150269]",0.003087565302848816
category_3,1,1,5,"[0.2209385633468628, 0.22162312269210815, 0.21865811944007874, 0.22438529133796692, 0.23448140919208527]","[0.21216590702533722, 0.22780224680900574, 0.21322427690029144, 0.2125454694032669]",0.006758514791727066
category_3,2,1,1,"[0.2511734366416931, 0.24731212854385376, 0.24033725261688232, 0.25375688076019287, 0.21235723793506622]","[0.2726760804653168, 0.2584289312362671, 0.2670990526676178, 0.24766169488430023]",-0.018323690940936388
category_3,2,1,2,"[0.251576691865921, 0.2371637523174286, 0.23532475531101227, 0.25775641202926636, 0.23594260215759277]","[0.28192394971847534, 0.26205843687057495, 0.26252833008766174, 0.23509813845157623]",-0.00807818646232289
category_3,2,1,3,"[0.2118191421031952, 0.2134595811367035, 0.2138795554637909, 0.21021652221679688, 0.2124866247177124]","[0.20307642221450806, 0.2226293981075287, 0.20312422513961792, 0.20738551020622253]",0.001054083307584136
category_3,2,1,4,"[0.21289271116256714, 0.20730862021446228, 0.21322953701019287, 0.21742470562458038, 0.21090854704380035]","[0.1986285299062729, 0.22223520278930664, 0.1983848363161087, 0.1988440901041031]",0.007125832140445709
category_3,2,1,5,"[0.20055478811264038, 0.19912399351596832, 0.2036857306957245, 0.20844796299934387, 0.20835180580615997]","[0.1906750500202179, 0.20814946293830872, 0.1975148767232895, 0.1913571059703827]",0.006252923359473556
category_3,3,1,1,"[0.22530342638492584, 0.2570967674255371, 0.22160977125167847, 0.24822574853897095, 0.22386030852794647]","[0.24995341897010803, 0.24950437247753143, 0.2673967182636261, 0.25522932410240173]",-0.027626991271972656
category_3,3,1,2,"[0.21036170423030853, 0.2359268218278885, 0.219828799366951, 0.2154185175895691, 0.20615486800670624]","[0.2180863916873932, 0.22442418336868286, 0.22570131719112396, 0.2394774854183197]",-0.01692668969432512
category_3,3,1,3,"[0.2113504707813263, 0.22469501197338104, 0.2224840521812439, 0.21996189653873444, 0.19761863350868225]","[0.22509095072746277, 0.2227853685617447, 0.21736083924770355, 0.24189028143882751]",-0.0144917331635952
category_3,3,1,4,"[0.2217961549758911, 0.23325088620185852, 0.23232842981815338, 0.2296186238527298, 0.2229630947113037]","[0.21365228295326233, 0.21714676916599274, 0.2016410529613495, 0.2340916097164154]",0.009050098558266967
category_3,3,1,5,"[0.1966959834098816, 0.20214532315731049, 0.21686604619026184, 0.21156840026378632, 0.22792038321495056]","[0.18986715376377106, 0.19485709071159363, 0.19477736949920654, 0.21828921139240265]",0.010621479401985795
category_3,3,2,1,"[0.2566240727901459, 0.26391246914863586, 0.2358553111553192, 0.26952263712882996, 0.22608162462711334]","[0.2823200225830078, 0.264173299074173, 0.28451675176620483, 0.25712230801582336]",-0.02158320819338161
category_3,3,2,2,"[0.2325182557106018, 0.2512627840042114, 0.22652031481266022, 0.2508217990398407, 0.22394299507141113]","[0.24921302497386932, 0.24113339185714722, 0.26530659198760986, 0.26115214824676514]",-0.022413202871878923
category_3,3,2,3,"[0.2142147272825241, 0.2237004041671753, 0.22420646250247955, 0.21737776696681976, 0.22184424102306366]","[0.22009532153606415, 0.22795216739177704, 0.23621632158756256, 0.2103913575410843]",-0.005442482729752868
category_3,3,2,4,"[0.19827832281589508, 0.21075281500816345, 0.20838074386119843, 0.2024945318698883, 0.21743714809417725]","[0.19340462982654572, 0.20803400874137878, 0.19985108077526093, 0.19898423552513123]",0.004357911646366119
category_3,3,2,5,"[0.22225749492645264, 0.23794648051261902, 0.22744333744049072, 0.22613254189491272, 0.2328435182571411]","[0.20784035325050354, 0.226688414812088, 0.21888770163059235, 0.21376430988311768]",0.0073890810211499625
